,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000033030.15,584,1801,2294
ENSG00000033050.9,888,1198,2055
ENSG00000033100.16,5196,2325,3668
ENSG00000033122.21,27,20,20
ENSG00000033170.17,1121,2119,3549
ENSG00000033178.13,2536,2232,1562
ENSG00000033327.13,761,863,1552
ENSG00000033627.17,3075,4142,3913
ENSG00000033800.14,2726,718,1709
ENSG00000033867.16,1553,759,1154
ENSG00000034053.14,403,75,1155
ENSG00000034152.19,2196,9591,2318
ENSG00000034239.11,39,3,200
ENSG00000034510.6,82400,70154,155892
ENSG00000034533.12,198,262,522
ENSG00000034677.13,3915,2916,2921
ENSG00000034693.15,1265,572,934
ENSG00000034713.8,1727,5956,3106
ENSG00000034971.17,0,1,3
ENSG00000035115.22,2104,3765,5233
ENSG00000035141.8,1416,1364,2444
ENSG00000035403.18,8562,5561,11263
ENSG00000035499.13,107,65,335
ENSG00000035664.11,136,211,681
ENSG00000035681.9,827,2151,3031
ENSG00000035687.10,2952,4903,6219
ENSG00000035720.8,23,13,78
ENSG00000035862.12,16031,14159,23305
ENSG00000035928.16,2467,1235,1733
ENSG00000036054.13,1341,1624,2026
ENSG00000036257.13,2612,1473,2070
ENSG00000036448.10,36011,52,47
ENSG00000036473.8,0,0,0
ENSG00000036530.9,40,16,52
ENSG00000036549.13,1505,1606,2780
ENSG00000036565.15,2,1,0
ENSG00000036672.16,36,55,330
ENSG00000036828.17,1,4,0
ENSG00000037042.9,520,1573,709
ENSG00000037241.7,836,1069,1780
ENSG00000037280.16,1399,1148,696
ENSG00000037474.15,14351,3963,4076
ENSG00000037637.11,1932,1065,2430
ENSG00000037749.12,547,272,585
ENSG00000037757.14,447,564,320
ENSG00000037897.17,615,1692,2690
ENSG00000037965.6,192,690,1031
ENSG00000038002.9,982,2842,884
ENSG00000038210.14,1352,791,914
ENSG00000038219.13,1796,1839,1480
ENSG00000038274.17,2302,2144,4269
ENSG00000038295.8,174,159,151
ENSG00000038358.15,1486,1023,1078
ENSG00000038382.20,3907,3488,3665
ENSG00000038427.16,20428,16945,17740
ENSG00000038532.16,1945,1661,1805
ENSG00000038945.15,2185,2781,1907
ENSG00000039068.19,19705,48768,21675
ENSG00000039123.16,2051,1232,3852
ENSG00000039139.9,326,641,384
ENSG00000039319.17,1659,1039,1039
ENSG00000039523.20,1726,4111,2299
ENSG00000039537.14,11,62,44
ENSG00000039560.14,2567,2317,2797
ENSG00000039600.11,19,7,8
ENSG00000039650.12,3134,2887,1739
ENSG00000039987.7,0,2,0
ENSG00000040199.18,359,627,452
ENSG00000040275.17,370,417,951
ENSG00000040341.18,1021,3337,3312
ENSG00000040487.13,1153,2105,1931
ENSG00000040531.16,742,669,789
ENSG00000040608.14,292,95,868
ENSG00000040633.13,1658,2901,3257
ENSG00000040731.10,1,0,0
ENSG00000040933.16,1003,965,1457
ENSG00000041353.10,792,1841,924
ENSG00000041357.16,4720,5212,17762
ENSG00000041515.16,20,6,27
ENSG00000041802.11,1571,1879,3961
ENSG00000041880.14,791,904,2705
ENSG00000041982.16,13926,4922,108140
ENSG00000041988.15,467,1068,1327
ENSG00000042062.13,177,340,296
ENSG00000042088.14,856,1015,2000
ENSG00000042286.15,538,888,1904
ENSG00000042304.12,1,0,1
ENSG00000042317.17,255,338,562
ENSG00000042429.12,185,254,344
ENSG00000042445.14,16982,2444,9004
ENSG00000042493.16,12172,15281,10200
ENSG00000042753.12,5984,8123,9440
ENSG00000042781.14,47,62,13
ENSG00000042813.8,4,0,4
ENSG00000042832.12,123,9,213
ENSG00000042980.13,372,120,130
ENSG00000043039.7,761,255,239
ENSG00000043093.15,1238,1770,3223
ENSG00000043143.20,1867,966,2056
ENSG00000043355.12,43,397,11
ENSG00000043462.13,964,1028,1004
ENSG00000043514.17,633,893,1925
ENSG00000043591.6,6,21,2
ENSG00000044012.4,0,0,0
ENSG00000044090.10,5177,3287,2690
ENSG00000044115.21,26467,16925,32537
ENSG00000044446.12,907,559,491
ENSG00000044459.15,216,206,650
ENSG00000044524.11,335,195,158
ENSG00000044574.8,34316,27292,92654
ENSG00000046604.13,1942,5276,4097
ENSG00000046647.13,848,1189,1287
ENSG00000046651.15,1731,1628,2619
ENSG00000046653.15,481,158,643
ENSG00000046774.10,0,0,0
ENSG00000046889.19,429,543,211
ENSG00000047056.16,1148,668,976
ENSG00000047188.16,1506,1047,2074
ENSG00000047230.15,989,2697,4608
ENSG00000047249.18,2394,7408,5760
ENSG00000047315.17,4039,2739,3204
ENSG00000047346.12,4290,1586,3613
ENSG00000047365.12,831,282,558
ENSG00000047410.14,4201,5748,12453
ENSG00000047457.14,474,2606,27015
ENSG00000047578.13,1550,2359,1611
ENSG00000047579.20,656,1056,1890
ENSG00000047597.7,7,6,32
ENSG00000047617.15,113,30,113
ENSG00000047621.12,741,567,734
ENSG00000047634.15,300,96,398
ENSG00000047644.19,7117,5892,7327
ENSG00000047648.23,285,299,193
ENSG00000047662.5,37,36,160
ENSG00000047849.21,15164,13427,17524
ENSG00000047932.14,1686,2761,2276
ENSG00000047936.11,62,2,2
ENSG00000048028.11,941,520,2267
ENSG00000048052.22,215,122,225
ENSG00000048140.18,3029,1567,3273
ENSG00000048162.21,1062,1470,1435
ENSG00000048342.17,282,234,498
ENSG00000048392.12,1111,2937,2567
ENSG00000048405.10,1019,752,1171
ENSG00000048462.11,32,2,121
ENSG00000048471.14,1773,824,1042
ENSG00000048540.15,52,718,62
ENSG00000048544.6,2445,2882,2958
ENSG00000048545.16,1,0,1
ENSG00000048649.13,1726,1611,3081
ENSG00000048707.15,4237,2891,4087
ENSG00000048740.18,1477,871,936
ENSG00000048828.17,8055,12613,11702
ENSG00000048991.16,1260,1297,3084
ENSG00000049089.15,330,1083,685
ENSG00000049130.16,1441,1912,8046
ENSG00000049167.15,379,326,484
ENSG00000049192.15,244,134,232
ENSG00000049239.13,5820,2730,3632
ENSG00000049245.13,4266,5669,5902
ENSG00000049246.14,440,885,688
ENSG00000049247.14,6,3,8
ENSG00000049249.9,62,38,119
ENSG00000049283.18,1828,2325,2714
ENSG00000049323.16,3387,3617,5028
ENSG00000049449.10,981,1285,3363
ENSG00000049540.18,7535,5643,9862
ENSG00000049541.11,1567,1378,3490
ENSG00000049618.24,2407,3444,4027
ENSG00000049656.14,5553,6357,8646
ENSG00000049759.19,3082,3765,507
ENSG00000049768.16,276,145,320
ENSG00000049769.14,217,361,201
ENSG00000049860.14,4911,4283,8398
ENSG00000049883.15,458,554,841
ENSG00000050030.16,36,109,40
ENSG00000050130.18,1655,1034,3032
ENSG00000050165.18,5424,2870,7782
ENSG00000050327.15,931,244,684
ENSG00000050344.9,808,814,866
ENSG00000050393.11,907,2628,2998
ENSG00000050405.13,7013,3537,7368
ENSG00000050426.16,1404,2683,1896
ENSG00000050438.17,180,1663,1013
ENSG00000050555.19,489,38,143
ENSG00000050628.20,343,258,1974
ENSG00000050730.16,6,5,7
ENSG00000050748.18,2381,2568,3640
ENSG00000050767.17,207,51,111
ENSG00000050820.17,4681,2153,3882
ENSG00000051009.11,1286,1460,1735
ENSG00000051108.15,7181,7828,4804
ENSG00000051128.19,1235,476,909
ENSG00000051180.17,238,358,616
ENSG00000051341.14,108,144,303
ENSG00000051382.9,3303,858,1772
ENSG00000051523.11,2050,12697,2024
ENSG00000051596.10,344,929,1613
ENSG00000051620.11,9174,5600,9738
ENSG00000051825.15,228,152,731
ENSG00000052126.14,784,1365,1511
ENSG00000052344.16,4855,11803,2999
ENSG00000052723.12,1622,1471,2479
ENSG00000052749.14,2608,4346,3490
ENSG00000052795.13,2997,2232,611
ENSG00000052802.13,6397,5479,2518
ENSG00000052841.15,2342,2299,3904
ENSG00000052850.8,49,14,25
ENSG00000053108.17,148,646,195
ENSG00000053254.16,1741,742,1575
ENSG00000053328.8,51,3,70
ENSG00000053371.12,1991,2422,3508
ENSG00000053372.5,1700,2411,4443
ENSG00000053438.11,8,7,8
ENSG00000053501.13,950,1127,1814
ENSG00000053524.12,24,4,30
ENSG00000053702.15,165,287,164
ENSG00000053747.17,580,1122,386
ENSG00000053770.12,2161,1755,2712
ENSG00000053900.11,936,957,658
ENSG00000053918.18,657,370,548
ENSG00000054116.12,3179,2916,5341
ENSG00000054118.15,8320,5903,9969
ENSG00000054148.18,2714,5062,7798
ENSG00000054179.12,855,4041,3543
ENSG00000054219.11,180,321,95
ENSG00000054267.22,1425,3794,3625
ENSG00000054277.14,275,43,171
ENSG00000054282.16,886,1593,2552
ENSG00000054356.14,42,3,99
ENSG00000054392.13,499,1274,1214
ENSG00000054523.18,2994,1444,4849
ENSG00000054598.9,297,521,146
ENSG00000054611.14,1366,1816,2240
